"","ID","Div","Measure","Value","Category","Question"
"2",1,"MPLS","Data","WORKING WITH COLLABORATORS IN INDUSTRY SO DEPENDENT ON THEIR COMPANY POLICIES","Resource not owned","OB"
"1",1,"MPLS","OA","WORKING WITH COLLABORATORS IN INDUSTRY SO DEPENDENT ON THEIR COMPANY POLICIES","Resource not owned","OB"
"13",2,"MPLS","Prereg","PRE-REG IS HIGHLY DEPENDENT N DISCIPLINE","Not applicable to all disciplines","OB"
"15",3,"MPLS","OA","OPEN ACCESS AUTHOR FEES","Financial cost","OB"
"22",4,"MPLS","OA","PROHIBITIVELY EXPENSIVE","Financial cost","OB"
"29",5,"MPLS","OA","EXPENSIVE","Financial cost","OB"
"37",6,"MPLS","Data","IT CAN BE DIFFICULT TO FIND THE APPROPRIATE CONVENTIONS FOR NAMING AND MANAGING DATA FOR SPECIFIC REPOSITORIES. ADDITIONALLY, AS SOMEONE WITH LIMITED CODE EXPERIENCE, FORMATTING DATA CORRECTLY IS CHALLENGING.","Difficult resource management and lack of metadata standards","OB"
"39",6,"MPLS","Materials","IT CAN BE DIFFICULT TO FIND THE APPROPRIATE CONVENTIONS FOR NAMING AND MANAGING DATA FOR SPECIFIC REPOSITORIES. ADDITIONALLY, AS SOMEONE WITH LIMITED CODE EXPERIENCE, FORMATTING DATA CORRECTLY IS CHALLENGING.","Difficult resource management and lack of metadata standards","OB"
"43",7,"MPLS","OA","OPEN ACCESS PUBLICATIONS ARE USUALLY MORE EXPENSIVE IN MY FIELD, AND IT IS NOT ALWAYS POSSIBLE TO FIND FUNDS TO COVER THE COST.","Financial cost","OB"
"51",8,"MSD","Data","ETHICS SURROUNDING SHARING MEDICAL DATA AND DIFFICULTY ANONYMISING DATA","Ethical concerns","OB"
"57",9,"HUM","OA","COST OF PUBLISHING IN 'GOLD' OA JOURNALS. ","Financial cost","OB"
"64",10,"MPLS","OA","CAN COST A LOT OF MONEY","Financial cost","OB"
"71",11,"SSD","OA","ENORMOUS PERSONAL COST","Financial cost","OB"
"80",12,"MSD","Code","CONCERN FROM THE GROUP REGARDING SHARING RESEARCH IDEAS WITH OTHERS PRIOR TO PUBLICATION","Fear of scooping","OB"
"81",12,"MSD","Materials","CONCERN FROM THE GROUP REGARDING SHARING RESEARCH IDEAS WITH OTHERS PRIOR TO PUBLICATION","Fear of scooping","OB"
"78",12,"MSD","OA","COST","Financial cost","OB"
"82",12,"MSD","Preprint","CONCERN FROM THE GROUP REGARDING SHARING RESEARCH IDEAS WITH OTHERS PRIOR TO PUBLICATION","Fear of scooping","OB"
"83",12,"MSD","Prereg","CONCERN FROM THE GROUP REGARDING SHARING RESEARCH IDEAS WITH OTHERS PRIOR TO PUBLICATION","Fear of scooping","OB"
"85",13,"MSD","OA","FUNDING - OPEN ACCESS IS GREAT, BUT OFTEN JUNIOR RESEARCHERS MAY NOT HAVE ACCESS TO FUNDS TO PUBLISH OPEN ACCESS","Financial cost","OB"
"93",14,"MSD","Data","I DO NOT HAVE THE AUTHORITY TO SHARE THE DATA ON WHICH I AM WORKING.","Resource not owned","OB"
"92",14,"MSD","OA","COST.","Financial cost","OB"
"99",15,"MSD","OA","COST/FUNDING FOR OPEN ACCESS FEES ","Financial cost","OB"
"106",16,"HUM","OA","FUNDING--IT IS EXPENSIVE","Financial cost","OB"
"113",17,"MSD","OA","COST","Financial cost","OB"
"120",18,"MSD","OA","COST BARRIERS TO PUBLISHING OPEN-ACCESS FOR POSTGRADUATE RESEARCH NOT COVERED BY A LAB GRANT","Financial cost","OB"
"127",19,"MPLS","OA","FINANCIAL BARRIERS (SOME JOURNALS DON'T HAVE AN AGREEMENT WITH THE UNIVERSITY TO PROVIDE OPEN ACCESS PUBLICATIONS, AND CHARGE EXORBITANT FEES FOR STUDENTS TO PUBLISH OPEN ACCESS).","Financial cost","OB"
"134",20,"HUM","OA","FINANCIAL","Financial cost","OB"
"142",21,"MSD","Data","WORKING WITH PARTICIPANT DATA AND COMPLEX GOVERNANCE REQUIREMENTS. ","Ethical concerns","OB"
"149",22,"MSD","Data","I WORK WITH INDIVIDUAL-LEVEL GENOMIC AND MEDICAL DATA WHICH, DUE TO ITS SENSITIVE NATURE, CANNOT BE MADE FREELY AVAILABLE TO THE GENERAL PUBLIC.","Ethical concerns","OB"
"155",23,"MSD","OA","COSTS","Financial cost","OB"
"160",23,"MSD","Prereg","FUNDING TO RUN A PILOT STUDY PRIOR TO THE PREREGISTRATION","Lack of funding for pilot studies","OB"
"162",24,"MSD","OA","COST OF OPEN ACCESS PUBLICATION","Financial cost","OB"
"170",25,"HUM","Data","DUE TO CORONAVIRUS, THE LIBRARIES WERE NOT ACCESSIBLE. IT WAS ONLY PARTIALLY POSSIBLE TO RECEIVE SCANNES OEUVERS OR ARTICLES. IT WOULD BE GREAT IF THE ELECTRONIC ACCESSIBILITY WAS ENHANCED. ","Resource not always digital","OB"
